"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
3895,35.2035,-118.8282,144.8,34824,38941
8320,35.26199,-118.9093,112.2,35303,41990
5824,35.25912,-118.9192,123,36676,46579
3564,35.24386,-118.9181,99.1,26813,33007
3457,36.4028,-119.6222,359,56222,69187
2271,36.36684,-119.8348,351.8,40208,75824
5280,36.29478,-119.795,254.6,62738,75440
9791,36.30319,-119.7953,224,67658,76430
6281,36.30441,-119.776,203.4,45065,49452
10021,36.3537,-119.666,268.7,85203,95432
5321,36.35703,-119.6396,223.6,65762,75604
2507,36.2677,-119.6263,328.2,58018,81811
4516,36.13511,-119.8604,129.5,42895,54582
3121,39.16971,-122.9248,282.2,42243,53050
5574,39.05089,-122.9192,249.8,37190,61756
3222,39.08561,-122.7781,198.2,26938,39172
3957,39.02956,-122.6633,239.3,40225,52349
4343,38.97321,-122.6507,211.9,28902,38943
4029,38.94439,-122.6135,117.4,31250,34693
2894,38.9388,-122.6296,80.6,32941,41157
3865,38.85746,-122.7329,269.4,68500,71079
3198,38.88144,-122.5875,280.9,49907,68088
1822,41.03627,-121.0214,228.6,51146,64872
2534,40.36344,-120.9351,181.2,46750,57926
1939,40.41285,-120.6535,179.3,26397,38483
9422,40.39941,-120.5,285.5,62700,68185
3664,34.26671,-118.2908,491.3,90563,111875
5990,34.25336,-118.29,298.4,41923,49754
3903,34.24561,-118.2896,465,69856,72941
1731,34.20992,-118.3496,441.5,47422,76118
2670,34.2699,-118.3073,445.5,83102,86039
6150,34.26817,-118.3326,467,73606,89499
4085,34.28246,-118.3925,369.7,68728,79292
5256,34.27272,-118.3987,350,42143,50424
3375,34.28388,-118.4034,187.5,47328,69229
4208,34.26823,-118.4154,295,29676,37620
4219,34.26387,-118.4051,243.2,52564,58743
5328,34.25072,-118.4123,304,60425,62246
3514,34.2465,-118.4161,357.1,45859,54076
2277,34.24517,-118.4199,285.5,33271,34478
5557,34.32113,-118.4275,413.4,81067,89394
5969,34.3133,-118.4167,383.4,85130,82108
5880,34.30354,-118.4284,288.1,44175,54887
3825,34.30486,-118.4404,322,60809,67544
3966,34.31664,-118.4464,295.3,55811,61032
4962,34.32062,-118.458,356.7,67289,74357
2933,34.30997,-118.4372,172,32563,32837
5837,34.30834,-118.4597,256.4,51885,62126
2979,34.3077,-118.5105,630.7,103750,120777
5020,34.30267,-118.4687,429.8,50649,60398
3389,34.28917,-118.4925,613.3,106250,125550
3890,34.29263,-118.4553,369.6,46339,57134
2853,34.2896,-118.46,460.6,76611,95219
3247,34.3028,-118.4481,345.7,65670,76375
3430,34.28007,-118.5547,619.2,97411,114631
1698,34.2941,-118.5455,630.5,106667,121845
3085,34.27128,-118.4801,397.7,68494,87927
4303,34.27413,-118.4442,344.6,56083,59615
5020,34.25874,-118.4529,390.2,61287,78637
